CATEGORY,QUESTION,ANSWER 1,ANSWER 2,ANSWER 3,ANSWER 4,correctIndex,CORRECT ANSWER
1,How many Senatorial districts do we have in Nigeria?,A. 169,B. 109,C. 125,D. 200,1,B. 109
1,How many federal constituencies does Nigeria have?,A. 160,B. 260,C. 360,D. 460,2,C. 360
1,Who can initiate the recall of an elected legislator?,A. Anyone with a voters card,B. A group of more than 50% of voters registered in the legislator’s constituency,C. A group of more than 70% of voters registered in the legislator’s constituency,D. A group of more than 70 that voted for the legislator,1,B. A group of more than 50% of voters registered in the legislator’s constituency
1,What is the name of Nigeria's first Prime Minister?,A. Obafemi Awolowo,B. Queen Elizabeth II,C. Tafawa Balewa,D. Nnamdi Azikiwe,2,C. Tafawa Balewa
1,What is the name of Nigeria’s first political party?,A. NNDP,B. NCNC,C. UPN,D. NPN,0,A. NNDP
1,Who was the first military head of state in Nigeria?,A. Yakubu Gowon,B. Olusegun Obasanjo,C. Johnson Aguiyi-Ironsi,D. Ibrahim Babangida,2,C. Johnson Aguiyi-Ironsi
1,Who moved the motion for Nigeria’s independence?,A. Nnamdi Azikiwe, Obafemi Awolowo,C. Tafawa Balewa,D. Anthony Enahoro,3,D. Anthony Enahoro
1,What year was the motion for Nigeria’s independence moved?,A. 1953,B. 1960,C. 1956,D. 1950,0,A. 1953
1,When was the indirect rule introduced in Nigeria?,A. 1914,B. 1944,C. 1906,D. 1926,2,C. 1906
1,Who introduced the indirect rule system in Nigeria?,A. Hugh Clifford,B. Lord Lugard,C. Arthur Richard,D. John Macpherson,1,B. Lord Lugard
1,The appointment of Ministers is subject to the confirmation of the Senate,A. False,B. True,C. Sometimes,D. Kogi State,1,B. True
1,A Run-off Election can be held in,A. Governorship election,B. Senatorial election,C. Local government election,D. All of the above,0,A. Governorship election
1,Who was Nigeria's first president after gaining independence?,A. Nnamdi Azikiwe,B. Tafawa Balewa,C. Obafemi Awolowo,D. Anthony Enahoro,0,A. Nnamdi Azikiwe
1,The Legislative Arm in Nigeria can be Categorized as:,A. House of Rep & House of Senate,B. Supreme Court and High Court,NIL,NIL,0,A. House of Rep & House of Senate
1,The Sharia Legal system is to the North while Common Law is to the,A. East,B. South,C. West,D. All of the Above,3,D. All of the Above
1,A local government Chairperson stays in office for,A. Two years,B. One year,C. Three years,D. Four years,2,C. Three years
1,Who among these was the first to become a World Champion?,A. Chioma Ajunwa,B. Ese Brume,C. Tobi Amusan,D. Kanu Nwankwo,2,C. Tobi Amusan
1,Who was Chief Festus Okotie Eboh?,A. Military Governor,B. Finance Minister,C. Head of State,D. Delta State Governor,1,B. Finance Minister
1,At what age are Civil Servants to retire in Nigeria?,A. 65,B. 60,C. 70,D. 80,1,B. 60
1,Can the House of Assembly pass a bill into Law without the Governor’s Assent?,A. Yes,B. No,NIL,NIL,0,A. Yes
1,Who was the first Nigerian to win a gold medal at an international competition?,A. Emmanuel Ifeajuna,B. Chioma Ajunwa,C. Tobi Amusan,D. JayJay Okocha,0,A. Emmanuel Ifeajuna
1,"Which Nigerian political figure is known as the ""father of Nigerian nationalism""?",A. Obafemi Awolowo,B. Herbert Macaulay,C. Hubert Ogunde,D. Bola Ahmed Tinubu,1,B. Herbert Macaulay
